# Every instruction every opcode in text.rs is written as, filled in with x1 to x4, the constant 1
# and [x9, #16], then assembled by GNU as 2.42 (aarch64-linux-gnu-as) and read back with objdump -d.
# Columns: the word GNU as wrote, the line it was given, the opcode.
1a9f47e1	cset w1, pl	fcmp_set_uge_f32
1e632040	fcmp d2, d3	fcmp_set_uge_f64
1a9f47e1	cset w1, pl	fcmp_set_uge_f64
1e232040	fcmp s2, s3	fcmp_set_uno_f32
1a9f77e1	cset w1, vs	fcmp_set_uno_f32
1e632040	fcmp d2, d3	fcmp_set_uno_f64
1a9f77e1	cset w1, vs	fcmp_set_uno_f64
1e232040	fcmp s2, s3	fcmp_set_ord_f32
1a9f67e1	cset w1, vc	fcmp_set_ord_f32
1e632040	fcmp d2, d3	fcmp_set_ord_f64
1a9f67e1	cset w1, vc	fcmp_set_ord_f64
1e232040	fcmp s2, s3	fcmp_set_one_f32
1a9f57e1	cset w1, mi	fcmp_set_one_f32
1a9fd421	csinc w1, w1, wzr, le	fcmp_set_one_f32
1e632040	fcmp d2, d3	fcmp_set_one_f64
1a9f57e1	cset w1, mi	fcmp_set_one_f64
1a9fd421	csinc w1, w1, wzr, le	fcmp_set_one_f64
1e232040	fcmp s2, s3	fcmp_set_ueq_f32
1a9f17e1	cset w1, eq	fcmp_set_ueq_f32
1a9f7421	csinc w1, w1, wzr, vc	fcmp_set_ueq_f32
1e632040	fcmp d2, d3	fcmp_set_ueq_f64
1a9f17e1	cset w1, eq	fcmp_set_ueq_f64
1a9f7421	csinc w1, w1, wzr, vc	fcmp_set_ueq_f64
14000000	b s	b
54000000	b.eq s	b_eq
54000001	b.ne s	b_ne
5400000b	b.lt s	b_lt
5400000d	b.le s	b_le
5400000c	b.gt s	b_gt
5400000a	b.ge s	b_ge
54000003	b.lo s	b_lo
54000009	b.ls s	b_ls
54000008	b.hi s	b_hi
54000002	b.hs s	b_hs
54000004	b.mi s	b_mi
54000005	b.pl s	b_pl
54000006	b.vs s	b_vs
54000007	b.vc s	b_vc
14000000	b s	b_away
d61f0020	br x1	br
94000000	bl s	bl
d63f0020	blr x1	blr
d65f03c0	ret	ret
f81f0fe1	str x1, [sp, #-16]!	push_64
f84107e1	ldr x1, [sp], #16	pop_64
a9bf0be1	stp x1, x2, [sp, #-16]!	push_pair_64
a8c10be1	ldp x1, x2, [sp], #16	pop_pair_64
aa0203f0	mov x16, x2	align_sp_64
92400201	and x1, x16, #1	align_sp_64
f900093f	str xzr, [x9, #16]	probe_64
d503201f	nop	nop
d4200020	brk #1	trap
d5033bbf	dmb ish	fence
d50339bf	dmb ishld	fence_acquire
08dffc41	ldarb w1, [x2]	ldar_8
48dffc41	ldarh w1, [x2]	ldar_16
88dffc41	ldar w1, [x2]	ldar_32
c8dffc41	ldar x1, [x2]	ldar_64
089ffc41	stlrb w1, [x2]	stlr_8
489ffc41	stlrh w1, [x2]	stlr_16
889ffc41	stlr w1, [x2]	stlr_32
c89ffc41	stlr x1, [x2]	stlr_64
085ffc61	ldaxrb w1, [x3]	xchg_8
0802fc64	stlxrb w2, w4, [x3]	xchg_8
35000002	cbnz w2, s	xchg_8
485ffc61	ldaxrh w1, [x3]	xchg_16
4802fc64	stlxrh w2, w4, [x3]	xchg_16
35000002	cbnz w2, s	xchg_16
885ffc61	ldaxr w1, [x3]	xchg_32
8802fc64	stlxr w2, w4, [x3]	xchg_32
35000002	cbnz w2, s	xchg_32
c85ffc61	ldaxr x1, [x3]	xchg_64
c802fc64	stlxr w2, x4, [x3]	xchg_64
35000002	cbnz w2, s	xchg_64
085ffc81	ldaxrb w1, [x4]	xadd_8
